+----------------------+------+--------+---------+-----------+
|      series id       | year | period |  value  | footnotes |
+----------------------+------+--------+---------+-----------+
| LASST200000000000006 | 2008 |  M12   | 1513104 |           |
| LASST200000000000006 | 2008 |  M11   | 1510525 |           |
| LASST200000000000006 | 2008 |  M10   | 1507919 |           |
| LASST200000000000006 | 2008 |  M09   | 1505247 |           |
| LASST200000000000006 | 2008 |  M08   | 1502681 |           |
| LASST200000000000006 | 2008 |  M07   | 1500304 |           |
| LASST200000000000006 | 2008 |  M06   | 1497928 |           |
| LASST200000000000006 | 2008 |  M05   | 1495605 |           |
| LASST200000000000006 | 2008 |  M04   | 1493581 |           |
| LASST200000000000006 | 2008 |  M03   | 1491944 |           |
| LASST200000000000006 | 2008 |  M02   | 1490759 |           |
| LASST200000000000006 | 2008 |  M01   | 1489971 |           |
| LASST200000000000006 | 2007 |  M12   | 1489360 |           |
| LASST200000000000006 | 2007 |  M11   | 1488790 |           |
| LASST200000000000006 | 2007 |  M10   | 1488060 |           |
| LASST200000000000006 | 2007 |  M09   | 1486962 |           |
| LASST200000000000006 | 2007 |  M08   | 1485483 |           |
| LASST200000000000006 | 2007 |  M07   | 1483889 |           |
| LASST200000000000006 | 2007 |  M06   | 1482450 |           |
| LASST200000000000006 | 2007 |  M05   | 1481198 |           |
| LASST200000000000006 | 2007 |  M04   | 1480060 |           |
| LASST200000000000006 | 2007 |  M03   | 1479015 |           |
| LASST200000000000006 | 2007 |  M02   | 1477947 |           |
| LASST200000000000006 | 2007 |  M01   | 1476771 |           |
| LASST200000000000006 | 2006 |  M12   | 1475381 |           |
| LASST200000000000006 | 2006 |  M11   | 1473612 |           |
| LASST200000000000006 | 2006 |  M10   | 1471544 |           |
| LASST200000000000006 | 2006 |  M09   | 1469466 |           |
| LASST200000000000006 | 2006 |  M08   | 1467606 |           |
| LASST200000000000006 | 2006 |  M07   | 1466067 |           |
| LASST200000000000006 | 2006 |  M06   | 1464874 |           |
| LASST200000000000006 | 2006 |  M05   | 1463985 |           |
| LASST200000000000006 | 2006 |  M04   | 1463377 |           |
| LASST200000000000006 | 2006 |  M03   | 1463113 |           |
| LASST200000000000006 | 2006 |  M02   | 1463157 |           |
| LASST200000000000006 | 2006 |  M01   | 1463409 |           |
| LASST200000000000006 | 2005 |  M12   | 1463686 |           |
| LASST200000000000006 | 2005 |  M11   | 1463839 |           |
| LASST200000000000006 | 2005 |  M10   | 1463818 |           |
| LASST200000000000006 | 2005 |  M09   | 1463768 |           |
| LASST200000000000006 | 2005 |  M08   | 1463835 |           |
| LASST200000000000006 | 2005 |  M07   | 1464166 |           |
| LASST200000000000006 | 2005 |  M06   | 1464871 |           |
| LASST200000000000006 | 2005 |  M05   | 1465872 |           |
| LASST200000000000006 | 2005 |  M04   | 1466892 |           |
| LASST200000000000006 | 2005 |  M03   | 1467679 |           |
| LASST200000000000006 | 2005 |  M02   | 1468113 |           |
| LASST200000000000006 | 2005 |  M01   | 1468305 |           |
| LASST200000000000006 | 2004 |  M12   | 1468517 |           |
| LASST200000000000006 | 2004 |  M11   | 1468837 |           |
| LASST200000000000006 | 2004 |  M10   | 1469074 |           |
| LASST200000000000006 | 2004 |  M09   | 1468940 |           |
| LASST200000000000006 | 2004 |  M08   | 1468241 |           |
| LASST200000000000006 | 2004 |  M07   | 1466920 |           |
| LASST200000000000006 | 2004 |  M06   | 1465020 |           |
| LASST200000000000006 | 2004 |  M05   | 1462691 |           |
| LASST200000000000006 | 2004 |  M04   | 1460154 |           |
| LASST200000000000006 | 2004 |  M03   | 1457541 |           |
| LASST200000000000006 | 2004 |  M02   | 1454846 |           |
| LASST200000000000006 | 2004 |  M01   | 1451920 |           |
| LASST200000000000006 | 2003 |  M12   | 1448737 |           |
| LASST200000000000006 | 2003 |  M11   | 1445708 |           |
| LASST200000000000006 | 2003 |  M10   | 1443177 |           |
| LASST200000000000006 | 2003 |  M09   | 1441221 |           |
| LASST200000000000006 | 2003 |  M08   | 1439694 |           |
| LASST200000000000006 | 2003 |  M07   | 1438234 |           |
| LASST200000000000006 | 2003 |  M06   | 1436616 |           |
| LASST200000000000006 | 2003 |  M05   | 1434670 |           |
| LASST200000000000006 | 2003 |  M04   | 1432257 |           |
| LASST200000000000006 | 2003 |  M03   | 1429546 |           |
| LASST200000000000006 | 2003 |  M02   | 1427021 |           |
| LASST200000000000006 | 2003 |  M01   | 1425102 |           |
| LASST200000000000006 | 2002 |  M12   | 1423859 |           |
| LASST200000000000006 | 2002 |  M11   | 1422902 |           |
| LASST200000000000006 | 2002 |  M10   | 1421835 |           |
| LASST200000000000006 | 2002 |  M09   | 1420443 |           |
| LASST200000000000006 | 2002 |  M08   | 1418491 |           |
| LASST200000000000006 | 2002 |  M07   | 1416003 |           |
| LASST200000000000006 | 2002 |  M06   | 1413079 |           |
| LASST200000000000006 | 2002 |  M05   | 1409936 |           |
| LASST200000000000006 | 2002 |  M04   | 1406863 |           |
| LASST200000000000006 | 2002 |  M03   | 1403932 |           |
| LASST200000000000006 | 2002 |  M02   | 1401139 |           |
| LASST200000000000006 | 2002 |  M01   | 1398384 |           |
| LASST200000000000006 | 2001 |  M12   | 1395681 |           |
| LASST200000000000006 | 2001 |  M11   | 1393148 |           |
| LASST200000000000006 | 2001 |  M10   | 1390890 |           |
| LASST200000000000006 | 2001 |  M09   | 1388916 |           |
| LASST200000000000006 | 2001 |  M08   | 1387423 |           |
| LASST200000000000006 | 2001 |  M07   | 1386634 |           |
| LASST200000000000006 | 2001 |  M06   | 1386756 |           |
| LASST200000000000006 | 2001 |  M05   | 1387887 |           |
| LASST200000000000006 | 2001 |  M04   | 1389719 |           |
| LASST200000000000006 | 2001 |  M03   | 1391756 |           |
| LASST200000000000006 | 2001 |  M02   | 1393505 |           |
| LASST200000000000006 | 2001 |  M01   | 1394800 |           |
| LASST200000000000006 | 2000 |  M12   | 1395628 |           |
| LASST200000000000006 | 2000 |  M11   | 1396170 |           |
| LASST200000000000006 | 2000 |  M10   | 1396925 |           |
| LASST200000000000006 | 2000 |  M09   | 1398459 |           |
| LASST200000000000006 | 2000 |  M08   | 1401014 |           |
| LASST200000000000006 | 2000 |  M07   | 1404368 |           |
| LASST200000000000006 | 2000 |  M06   | 1408039 |           |
