+----------------------+------+--------+---------+-----------+
|      series id       | year | period |  value  | footnotes |
+----------------------+------+--------+---------+-----------+
| LASST010000000000006 | 2018 |  M12   | 2204278 |           |
| LASST010000000000006 | 2018 |  M11   | 2204184 |           |
| LASST010000000000006 | 2018 |  M10   | 2203946 |           |
| LASST010000000000006 | 2018 |  M09   | 2203300 |           |
| LASST010000000000006 | 2018 |  M08   | 2202690 |           |
| LASST010000000000006 | 2018 |  M07   | 2202226 |           |
| LASST010000000000006 | 2018 |  M06   | 2201210 |           |
| LASST010000000000006 | 2018 |  M05   | 2199495 |           |
| LASST010000000000006 | 2018 |  M04   | 2196553 |           |
| LASST010000000000006 | 2018 |  M03   | 2192348 |           |
| LASST010000000000006 | 2018 |  M02   | 2187729 |           |
| LASST010000000000006 | 2018 |  M01   | 2183939 |           |
| LASST010000000000006 | 2017 |  M12   | 2181333 |           |
| LASST010000000000006 | 2017 |  M11   | 2179645 |           |
| LASST010000000000006 | 2017 |  M10   | 2178449 |           |
| LASST010000000000006 | 2017 |  M09   | 2177406 |           |
| LASST010000000000006 | 2017 |  M08   | 2176378 |           |
| LASST010000000000006 | 2017 |  M07   | 2175353 |           |
| LASST010000000000006 | 2017 |  M06   | 2174753 |           |
| LASST010000000000006 | 2017 |  M05   | 2175151 |           |
| LASST010000000000006 | 2017 |  M04   | 2176593 |           |
| LASST010000000000006 | 2017 |  M03   | 2178892 |           |
| LASST010000000000006 | 2017 |  M02   | 2181597 |           |
| LASST010000000000006 | 2017 |  M01   | 2184038 |           |
| LASST010000000000006 | 2016 |  M12   | 2185769 |           |
| LASST010000000000006 | 2016 |  M11   | 2186305 |           |
| LASST010000000000006 | 2016 |  M10   | 2185484 |           |
| LASST010000000000006 | 2016 |  M09   | 2183386 |           |
| LASST010000000000006 | 2016 |  M08   | 2180334 |           |
| LASST010000000000006 | 2016 |  M07   | 2177082 |           |
| LASST010000000000006 | 2016 |  M06   | 2174287 |           |
| LASST010000000000006 | 2016 |  M05   | 2172473 |           |
| LASST010000000000006 | 2016 |  M04   | 2171744 |           |
| LASST010000000000006 | 2016 |  M03   | 2171544 |           |
| LASST010000000000006 | 2016 |  M02   | 2170713 |           |
| LASST010000000000006 | 2016 |  M01   | 2168641 |           |
