+----------------------+------+--------+--------+-----------+
|      series id       | year | period | value  | footnotes |
+----------------------+------+--------+--------+-----------+
| LASST020000000000006 | 2008 |  M12   | 357354 |           |
| LASST020000000000006 | 2008 |  M11   | 357059 |           |
| LASST020000000000006 | 2008 |  M10   | 356922 |           |
| LASST020000000000006 | 2008 |  M09   | 356908 |           |
| LASST020000000000006 | 2008 |  M08   | 356920 |           |
| LASST020000000000006 | 2008 |  M07   | 356856 |           |
| LASST020000000000006 | 2008 |  M06   | 356639 |           |
| LASST020000000000006 | 2008 |  M05   | 356235 |           |
| LASST020000000000006 | 2008 |  M04   | 355661 |           |
| LASST020000000000006 | 2008 |  M03   | 354965 |           |
| LASST020000000000006 | 2008 |  M02   | 354231 |           |
| LASST020000000000006 | 2008 |  M01   | 353534 |           |
| LASST020000000000006 | 2007 |  M12   | 352900 |           |
| LASST020000000000006 | 2007 |  M11   | 352339 |           |
| LASST020000000000006 | 2007 |  M10   | 351834 |           |
| LASST020000000000006 | 2007 |  M09   | 351362 |           |
| LASST020000000000006 | 2007 |  M08   | 350937 |           |
| LASST020000000000006 | 2007 |  M07   | 350571 |           |
| LASST020000000000006 | 2007 |  M06   | 350249 |           |
| LASST020000000000006 | 2007 |  M05   | 350006 |           |
| LASST020000000000006 | 2007 |  M04   | 349891 |           |
| LASST020000000000006 | 2007 |  M03   | 349888 |           |
| LASST020000000000006 | 2007 |  M02   | 349954 |           |
| LASST020000000000006 | 2007 |  M01   | 350056 |           |
| LASST020000000000006 | 2006 |  M12   | 350163 |           |
| LASST020000000000006 | 2006 |  M11   | 350263 |           |
| LASST020000000000006 | 2006 |  M10   | 350357 |           |
| LASST020000000000006 | 2006 |  M09   | 350435 |           |
| LASST020000000000006 | 2006 |  M08   | 350468 |           |
| LASST020000000000006 | 2006 |  M07   | 350415 |           |
| LASST020000000000006 | 2006 |  M06   | 350239 |           |
| LASST020000000000006 | 2006 |  M05   | 349888 |           |
| LASST020000000000006 | 2006 |  M04   | 349356 |           |
| LASST020000000000006 | 2006 |  M03   | 348739 |           |
| LASST020000000000006 | 2006 |  M02   | 348126 |           |
| LASST020000000000006 | 2006 |  M01   | 347570 |           |
| LASST020000000000006 | 2005 |  M12   | 347121 |           |
| LASST020000000000006 | 2005 |  M11   | 346737 |           |
| LASST020000000000006 | 2005 |  M10   | 346346 |           |
| LASST020000000000006 | 2005 |  M09   | 345921 |           |
| LASST020000000000006 | 2005 |  M08   | 345435 |           |
| LASST020000000000006 | 2005 |  M07   | 344890 |           |
| LASST020000000000006 | 2005 |  M06   | 344327 |           |
| LASST020000000000006 | 2005 |  M05   | 343788 |           |
| LASST020000000000006 | 2005 |  M04   | 343279 |           |
| LASST020000000000006 | 2005 |  M03   | 342776 |           |
| LASST020000000000006 | 2005 |  M02   | 342265 |           |
| LASST020000000000006 | 2005 |  M01   | 341699 |           |
| LASST020000000000006 | 2004 |  M12   | 341024 |           |
| LASST020000000000006 | 2004 |  M11   | 340255 |           |
| LASST020000000000006 | 2004 |  M10   | 339410 |           |
| LASST020000000000006 | 2004 |  M09   | 338483 |           |
| LASST020000000000006 | 2004 |  M08   | 337535 |           |
| LASST020000000000006 | 2004 |  M07   | 336618 |           |
| LASST020000000000006 | 2004 |  M06   | 335789 |           |
| LASST020000000000006 | 2004 |  M05   | 335111 |           |
| LASST020000000000006 | 2004 |  M04   | 334612 |           |
| LASST020000000000006 | 2004 |  M03   | 334264 |           |
| LASST020000000000006 | 2004 |  M02   | 333984 |           |
| LASST020000000000006 | 2004 |  M01   | 333696 |           |
| LASST020000000000006 | 2003 |  M12   | 333334 |           |
| LASST020000000000006 | 2003 |  M11   | 332872 |           |
| LASST020000000000006 | 2003 |  M10   | 332377 |           |
| LASST020000000000006 | 2003 |  M09   | 331944 |           |
| LASST020000000000006 | 2003 |  M08   | 331621 |           |
| LASST020000000000006 | 2003 |  M07   | 331444 |           |
