+----------------------+------+--------+---------+-----------+
|      series id       | year | period |  value  | footnotes |
+----------------------+------+--------+---------+-----------+
| LASST040000000000006 | 2008 |  M12   | 3133132 |           |
| LASST040000000000006 | 2008 |  M11   | 3132628 |           |
| LASST040000000000006 | 2008 |  M10   | 3130478 |           |
| LASST040000000000006 | 2008 |  M09   | 3126192 |           |
| LASST040000000000006 | 2008 |  M08   | 3119852 |           |
| LASST040000000000006 | 2008 |  M07   | 3111845 |           |
| LASST040000000000006 | 2008 |  M06   | 3103036 |           |
| LASST040000000000006 | 2008 |  M05   | 3094308 |           |
| LASST040000000000006 | 2008 |  M04   | 3086160 |           |
| LASST040000000000006 | 2008 |  M03   | 3078672 |           |
| LASST040000000000006 | 2008 |  M02   | 3071715 |           |
| LASST040000000000006 | 2008 |  M01   | 3064872 |           |
| LASST040000000000006 | 2007 |  M12   | 3057685 |           |
| LASST040000000000006 | 2007 |  M11   | 3050277 |           |
| LASST040000000000006 | 2007 |  M10   | 3042969 |           |
| LASST040000000000006 | 2007 |  M09   | 3036055 |           |
| LASST040000000000006 | 2007 |  M08   | 3030333 |           |
| LASST040000000000006 | 2007 |  M07   | 3026555 |           |
| LASST040000000000006 | 2007 |  M06   | 3024732 |           |
| LASST040000000000006 | 2007 |  M05   | 3024750 |           |
| LASST040000000000006 | 2007 |  M04   | 3026411 |           |
| LASST040000000000006 | 2007 |  M03   | 3029105 |           |
| LASST040000000000006 | 2007 |  M02   | 3031851 |           |
| LASST040000000000006 | 2007 |  M01   | 3033441 |           |
| LASST040000000000006 | 2006 |  M12   | 3032885 |           |
| LASST040000000000006 | 2006 |  M11   | 3029102 |           |
| LASST040000000000006 | 2006 |  M10   | 3022312 |           |
| LASST040000000000006 | 2006 |  M09   | 3013586 |           |
| LASST040000000000006 | 2006 |  M08   | 3003955 |           |
| LASST040000000000006 | 2006 |  M07   | 2994425 |           |
| LASST040000000000006 | 2006 |  M06   | 2985775 |           |
| LASST040000000000006 | 2006 |  M05   | 2977575 |           |
| LASST040000000000006 | 2006 |  M04   | 2969004 |           |
| LASST040000000000006 | 2006 |  M03   | 2959737 |           |
| LASST040000000000006 | 2006 |  M02   | 2949623 |           |
| LASST040000000000006 | 2006 |  M01   | 2939280 |           |
| LASST040000000000006 | 2005 |  M12   | 2929493 |           |
| LASST040000000000006 | 2005 |  M11   | 2920757 |           |
| LASST040000000000006 | 2005 |  M10   | 2913070 |           |
| LASST040000000000006 | 2005 |  M09   | 2906315 |           |
| LASST040000000000006 | 2005 |  M08   | 2899721 |           |
| LASST040000000000006 | 2005 |  M07   | 2892165 |           |
| LASST040000000000006 | 2005 |  M06   | 2883042 |           |
| LASST040000000000006 | 2005 |  M05   | 2872494 |           |
| LASST040000000000006 | 2005 |  M04   | 2861235 |           |
| LASST040000000000006 | 2005 |  M03   | 2850253 |           |
| LASST040000000000006 | 2005 |  M02   | 2840084 |           |
| LASST040000000000006 | 2005 |  M01   | 2830958 |           |
| LASST040000000000006 | 2004 |  M12   | 2823278 |           |
| LASST040000000000006 | 2004 |  M11   | 2817364 |           |
| LASST040000000000006 | 2004 |  M10   | 2812645 |           |
| LASST040000000000006 | 2004 |  M09   | 2808061 |           |
| LASST040000000000006 | 2004 |  M08   | 2803148 |           |
| LASST040000000000006 | 2004 |  M07   | 2797903 |           |
| LASST040000000000006 | 2004 |  M06   | 2792608 |           |
| LASST040000000000006 | 2004 |  M05   | 2787519 |           |
| LASST040000000000006 | 2004 |  M04   | 2782704 |           |
| LASST040000000000006 | 2004 |  M03   | 2778150 |           |
| LASST040000000000006 | 2004 |  M02   | 2773830 |           |
| LASST040000000000006 | 2004 |  M01   | 2769453 |           |
| LASST040000000000006 | 2003 |  M12   | 2764152 |           |
| LASST040000000000006 | 2003 |  M11   | 2758026 |           |
| LASST040000000000006 | 2003 |  M10   | 2752011 |           |
| LASST040000000000006 | 2003 |  M09   | 2746888 |           |
| LASST040000000000006 | 2003 |  M08   | 2742787 |           |
| LASST040000000000006 | 2003 |  M07   | 2739185 |           |
| LASST040000000000006 | 2003 |  M06   | 2735343 |           |
| LASST040000000000006 | 2003 |  M05   | 2730641 |           |
| LASST040000000000006 | 2003 |  M04   | 2724802 |           |
| LASST040000000000006 | 2003 |  M03   | 2718015 |           |
| LASST040000000000006 | 2003 |  M02   | 2711503 |           |
| LASST040000000000006 | 2003 |  M01   | 2706655 |           |
| LASST040000000000006 | 2002 |  M12   | 2703962 |           |
| LASST040000000000006 | 2002 |  M11   | 2702558 |           |
| LASST040000000000006 | 2002 |  M10   | 2701144 |           |
| LASST040000000000006 | 2002 |  M09   | 2698786 |           |
| LASST040000000000006 | 2002 |  M08   | 2694734 |           |
| LASST040000000000006 | 2002 |  M07   | 2689164 |           |
| LASST040000000000006 | 2002 |  M06   | 2682097 |           |
| LASST040000000000006 | 2002 |  M05   | 2673923 |           |
| LASST040000000000006 | 2002 |  M04   | 2665340 |           |
| LASST040000000000006 | 2002 |  M03   | 2656594 |           |
| LASST040000000000006 | 2002 |  M02   | 2647828 |           |
| LASST040000000000006 | 2002 |  M01   | 2638754 |           |
| LASST040000000000006 | 2001 |  M12   | 2629540 |           |
| LASST040000000000006 | 2001 |  M11   | 2620418 |           |
| LASST040000000000006 | 2001 |  M10   | 2611118 |           |
| LASST040000000000006 | 2001 |  M09   | 2601571 |           |
| LASST040000000000006 | 2001 |  M08   | 2592392 |           |
| LASST040000000000006 | 2001 |  M07   | 2583941 |           |
| LASST040000000000006 | 2001 |  M06   | 2576725 |           |
| LASST040000000000006 | 2001 |  M05   | 2571158 |           |
| LASST040000000000006 | 2001 |  M04   | 2566426 |           |
| LASST040000000000006 | 2001 |  M03   | 2561507 |           |
| LASST040000000000006 | 2001 |  M02   | 2555131 |           |
| LASST040000000000006 | 2001 |  M01   | 2546950 |           |
| LASST040000000000006 | 2000 |  M12   | 2537351 |           |
| LASST040000000000006 | 2000 |  M11   | 2527291 |           |
| LASST040000000000006 | 2000 |  M10   | 2518133 |           |
| LASST040000000000006 | 2000 |  M09   | 2510866 |           |
| LASST040000000000006 | 2000 |  M08   | 2505964 |           |
| LASST040000000000006 | 2000 |  M07   | 2503457 |           |
| LASST040000000000006 | 2000 |  M06   | 2502998 |           |
| LASST040000000000006 | 2000 |  M05   | 2503461 |           |
| LASST040000000000006 | 2000 |  M04   | 2503989 |           |
| LASST040000000000006 | 2000 |  M03   | 2503992 |           |
| LASST040000000000006 | 2000 |  M02   | 2502752 |           |
| LASST040000000000006 | 2000 |  M01   | 2499980 |           |
| LASST040000000000006 | 1999 |  M12   | 2495969 |           |
| LASST040000000000006 | 1999 |  M11   | 2491425 |           |
| LASST040000000000006 | 1999 |  M10   | 2487121 |           |
| LASST040000000000006 | 1999 |  M09   | 2483572 |           |
| LASST040000000000006 | 1999 |  M08   | 2480341 |           |
| LASST040000000000006 | 1999 |  M07   | 2476961 |           |
| LASST040000000000006 | 1999 |  M06   | 2473164 |           |
| LASST040000000000006 | 1999 |  M05   | 2468947 |           |
| LASST040000000000006 | 1999 |  M04   | 2464161 |           |
| LASST040000000000006 | 1999 |  M03   | 2458502 |           |
| LASST040000000000006 | 1999 |  M02   | 2452267 |           |
