+----------------------+------+--------+----------+-----------+
|      series id       | year | period |  value   | footnotes |
+----------------------+------+--------+----------+-----------+
| LASST060000000000006 | 2018 |  M12   | 19507556 |           |
| LASST060000000000006 | 2018 |  M11   | 19509220 |           |
| LASST060000000000006 | 2018 |  M10   | 19499464 |           |
| LASST060000000000006 | 2018 |  M09   | 19463226 |           |
| LASST060000000000006 | 2018 |  M08   | 19421635 |           |
| LASST060000000000006 | 2018 |  M07   | 19386418 |           |
| LASST060000000000006 | 2018 |  M06   | 19359469 |           |
| LASST060000000000006 | 2018 |  M05   | 19342168 |           |
| LASST060000000000006 | 2018 |  M04   | 19324076 |           |
| LASST060000000000006 | 2018 |  M03   | 19301463 |           |
| LASST060000000000006 | 2018 |  M02   | 19277700 |           |
| LASST060000000000006 | 2018 |  M01   | 19260712 |           |
| LASST060000000000006 | 2017 |  M12   | 19252711 |           |
| LASST060000000000006 | 2017 |  M11   | 19250072 |           |
| LASST060000000000006 | 2017 |  M10   | 19247826 |           |
| LASST060000000000006 | 2017 |  M09   | 19242837 |           |
| LASST060000000000006 | 2017 |  M08   | 19233714 |           |
| LASST060000000000006 | 2017 |  M07   | 19219228 |           |
| LASST060000000000006 | 2017 |  M06   | 19201842 |           |
| LASST060000000000006 | 2017 |  M05   | 19186100 |           |
| LASST060000000000006 | 2017 |  M04   | 19172211 |           |
| LASST060000000000006 | 2017 |  M03   | 19160149 |           |
| LASST060000000000006 | 2017 |  M02   | 19148899 |           |
| LASST060000000000006 | 2017 |  M01   | 19136698 |           |
| LASST060000000000006 | 2016 |  M12   | 19125390 |           |
| LASST060000000000006 | 2016 |  M11   | 19115582 |           |
| LASST060000000000006 | 2016 |  M10   | 19105541 |           |
| LASST060000000000006 | 2016 |  M09   | 19092284 |           |
| LASST060000000000006 | 2016 |  M08   | 19074911 |           |
| LASST060000000000006 | 2016 |  M07   | 19055926 |           |
| LASST060000000000006 | 2016 |  M06   | 19036755 |           |
| LASST060000000000006 | 2016 |  M05   | 19019572 |           |
| LASST060000000000006 | 2016 |  M04   | 19006264 |           |
| LASST060000000000006 | 2016 |  M03   | 18995088 |           |
| LASST060000000000006 | 2016 |  M02   | 18979272 |           |
| LASST060000000000006 | 2016 |  M01   | 18954322 |           |
| LASST060000000000006 | 2015 |  M12   | 18921354 |           |
| LASST060000000000006 | 2015 |  M11   | 18884782 |           |
| LASST060000000000006 | 2015 |  M10   | 18854108 |           |
| LASST060000000000006 | 2015 |  M09   | 18837892 |           |
| LASST060000000000006 | 2015 |  M08   | 18835371 |           |
| LASST060000000000006 | 2015 |  M07   | 18840326 |           |
| LASST060000000000006 | 2015 |  M06   | 18848010 |           |
| LASST060000000000006 | 2015 |  M05   | 18852146 |           |
| LASST060000000000006 | 2015 |  M04   | 18848538 |           |
| LASST060000000000006 | 2015 |  M03   | 18840531 |           |
| LASST060000000000006 | 2015 |  M02   | 18832543 |           |
| LASST060000000000006 | 2015 |  M01   | 18826547 |           |
| LASST060000000000006 | 2014 |  M12   | 18821145 |           |
| LASST060000000000006 | 2014 |  M11   | 18813677 |           |
| LASST060000000000006 | 2014 |  M10   | 18799130 |           |
| LASST060000000000006 | 2014 |  M09   | 18773334 |           |
| LASST060000000000006 | 2014 |  M08   | 18742319 |           |
| LASST060000000000006 | 2014 |  M07   | 18714593 |           |
| LASST060000000000006 | 2014 |  M06   | 18693090 |           |
| LASST060000000000006 | 2014 |  M05   | 18676518 |           |
| LASST060000000000006 | 2014 |  M04   | 18663311 |           |
| LASST060000000000006 | 2014 |  M03   | 18646753 |           |
| LASST060000000000006 | 2014 |  M02   | 18625521 |           |
| LASST060000000000006 | 2014 |  M01   | 18603550 |           |
| LASST060000000000006 | 2013 |  M12   | 18623953 |           |
| LASST060000000000006 | 2013 |  M11   | 18614669 |           |
| LASST060000000000006 | 2013 |  M10   | 18617976 |           |
| LASST060000000000006 | 2013 |  M09   | 18632088 |           |
| LASST060000000000006 | 2013 |  M08   | 18647231 |           |
| LASST060000000000006 | 2013 |  M07   | 18652081 |           |
| LASST060000000000006 | 2013 |  M06   | 18645876 |           |
| LASST060000000000006 | 2013 |  M05   | 18634480 |           |
| LASST060000000000006 | 2013 |  M04   | 18622241 |           |
| LASST060000000000006 | 2013 |  M03   | 18614695 |           |
| LASST060000000000006 | 2013 |  M02   | 18614456 |           |
| LASST060000000000006 | 2013 |  M01   | 18615393 |           |
| LASST060000000000006 | 2012 |  M12   | 18616736 |           |
| LASST060000000000006 | 2012 |  M11   | 18605146 |           |
