+----------------------+------+--------+--------+-----------+
|      series id       | year | period | value  | footnotes |
+----------------------+------+--------+--------+-----------+
| LASST160000000000006 | 2018 |  M12   | 862394 |           |
| LASST160000000000006 | 2018 |  M11   | 862547 |           |
| LASST160000000000006 | 2018 |  M10   | 862494 |           |
| LASST160000000000006 | 2018 |  M09   | 861524 |           |
| LASST160000000000006 | 2018 |  M08   | 860134 |           |
| LASST160000000000006 | 2018 |  M07   | 858543 |           |
| LASST160000000000006 | 2018 |  M06   | 856759 |           |
| LASST160000000000006 | 2018 |  M05   | 855074 |           |
| LASST160000000000006 | 2018 |  M04   | 853321 |           |
| LASST160000000000006 | 2018 |  M03   | 851466 |           |
| LASST160000000000006 | 2018 |  M02   | 849570 |           |
| LASST160000000000006 | 2018 |  M01   | 847719 |           |
| LASST160000000000006 | 2017 |  M12   | 845829 |           |
| LASST160000000000006 | 2017 |  M11   | 843834 |           |
| LASST160000000000006 | 2017 |  M10   | 841749 |           |
| LASST160000000000006 | 2017 |  M09   | 839597 |           |
| LASST160000000000006 | 2017 |  M08   | 837458 |           |
| LASST160000000000006 | 2017 |  M07   | 835370 |           |
| LASST160000000000006 | 2017 |  M06   | 833341 |           |
| LASST160000000000006 | 2017 |  M05   | 831388 |           |
| LASST160000000000006 | 2017 |  M04   | 829515 |           |
| LASST160000000000006 | 2017 |  M03   | 827743 |           |
| LASST160000000000006 | 2017 |  M02   | 826072 |           |
| LASST160000000000006 | 2017 |  M01   | 824513 |           |
| LASST160000000000006 | 2016 |  M12   | 823139 |           |
| LASST160000000000006 | 2016 |  M11   | 821896 |           |
| LASST160000000000006 | 2016 |  M10   | 820608 |           |
| LASST160000000000006 | 2016 |  M09   | 819188 |           |
| LASST160000000000006 | 2016 |  M08   | 817626 |           |
| LASST160000000000006 | 2016 |  M07   | 815991 |           |
| LASST160000000000006 | 2016 |  M06   | 814366 |           |
| LASST160000000000006 | 2016 |  M05   | 812801 |           |
| LASST160000000000006 | 2016 |  M04   | 811296 |           |
| LASST160000000000006 | 2016 |  M03   | 809769 |           |
