+----------------------+------+--------+-------+-----------+
|      series id       | year | period | value | footnotes |
+----------------------+------+--------+-------+-----------+
| LASST320000000000003 | 2008 |  M12   |  9.0  |           |
| LASST320000000000003 | 2008 |  M11   |  8.5  |           |
| LASST320000000000003 | 2008 |  M10   |  7.9  |           |
| LASST320000000000003 | 2008 |  M09   |  7.4  |           |
| LASST320000000000003 | 2008 |  M08   |  7.0  |           |
| LASST320000000000003 | 2008 |  M07   |  6.6  |           |
| LASST320000000000003 | 2008 |  M06   |  6.3  |           |
| LASST320000000000003 | 2008 |  M05   |  6.0  |           |
| LASST320000000000003 | 2008 |  M04   |  5.8  |           |
| LASST320000000000003 | 2008 |  M03   |  5.5  |           |
| LASST320000000000003 | 2008 |  M02   |  5.3  |           |
| LASST320000000000003 | 2008 |  M01   |  5.2  |           |
| LASST320000000000003 | 2007 |  M12   |  5.0  |           |
| LASST320000000000003 | 2007 |  M11   |  4.9  |           |
| LASST320000000000003 | 2007 |  M10   |  4.8  |           |
| LASST320000000000003 | 2007 |  M09   |  4.7  |           |
| LASST320000000000003 | 2007 |  M08   |  4.6  |           |
| LASST320000000000003 | 2007 |  M07   |  4.5  |           |
| LASST320000000000003 | 2007 |  M06   |  4.4  |           |
| LASST320000000000003 | 2007 |  M05   |  4.3  |           |
| LASST320000000000003 | 2007 |  M04   |  4.2  |           |
| LASST320000000000003 | 2007 |  M03   |  4.2  |           |
| LASST320000000000003 | 2007 |  M02   |  4.2  |           |
| LASST320000000000003 | 2007 |  M01   |  4.1  |           |
| LASST320000000000003 | 2006 |  M12   |  4.1  |           |
| LASST320000000000003 | 2006 |  M11   |  4.1  |           |
| LASST320000000000003 | 2006 |  M10   |  4.1  |           |
| LASST320000000000003 | 2006 |  M09   |  4.1  |           |
| LASST320000000000003 | 2006 |  M08   |  4.1  |           |
| LASST320000000000003 | 2006 |  M07   |  4.1  |           |
| LASST320000000000003 | 2006 |  M06   |  4.1  |           |
| LASST320000000000003 | 2006 |  M05   |  4.1  |           |
| LASST320000000000003 | 2006 |  M04   |  4.0  |           |
| LASST320000000000003 | 2006 |  M03   |  4.0  |           |
