+----------------------+------+--------+--------+-----------+
|      series id       | year | period | value  | footnotes |
+----------------------+------+--------+--------+-----------+
| LASST110000000000006 | 2008 |  M12   | 332448 |           |
| LASST110000000000006 | 2008 |  M11   | 332575 |           |
| LASST110000000000006 | 2008 |  M10   | 332555 |           |
| LASST110000000000006 | 2008 |  M09   | 332380 |           |
| LASST110000000000006 | 2008 |  M08   | 332088 |           |
| LASST110000000000006 | 2008 |  M07   | 331629 |           |
| LASST110000000000006 | 2008 |  M06   | 330950 |           |
| LASST110000000000006 | 2008 |  M05   | 330116 |           |
| LASST110000000000006 | 2008 |  M04   | 329288 |           |
| LASST110000000000006 | 2008 |  M03   | 328612 |           |
| LASST110000000000006 | 2008 |  M02   | 328082 |           |
| LASST110000000000006 | 2008 |  M01   | 327502 |           |
| LASST110000000000006 | 2007 |  M12   | 326711 |           |
| LASST110000000000006 | 2007 |  M11   | 325684 |           |
| LASST110000000000006 | 2007 |  M10   | 324459 |           |
| LASST110000000000006 | 2007 |  M09   | 323163 |           |
| LASST110000000000006 | 2007 |  M08   | 322005 |           |
| LASST110000000000006 | 2007 |  M07   | 321198 |           |
| LASST110000000000006 | 2007 |  M06   | 320827 |           |
| LASST110000000000006 | 2007 |  M05   | 320782 |           |
| LASST110000000000006 | 2007 |  M04   | 320828 |           |
| LASST110000000000006 | 2007 |  M03   | 320741 |           |
| LASST110000000000006 | 2007 |  M02   | 320401 |           |
| LASST110000000000006 | 2007 |  M01   | 319815 |           |
| LASST110000000000006 | 2006 |  M12   | 319094 |           |
| LASST110000000000006 | 2006 |  M11   | 318418 |           |
| LASST110000000000006 | 2006 |  M10   | 317912 |           |
| LASST110000000000006 | 2006 |  M09   | 317520 |           |
| LASST110000000000006 | 2006 |  M08   | 317106 |           |
| LASST110000000000006 | 2006 |  M07   | 316569 |           |
| LASST110000000000006 | 2006 |  M06   | 315895 |           |
| LASST110000000000006 | 2006 |  M05   | 315172 |           |
| LASST110000000000006 | 2006 |  M04   | 314507 |           |
| LASST110000000000006 | 2006 |  M03   | 313980 |           |
| LASST110000000000006 | 2006 |  M02   | 313649 |           |
| LASST110000000000006 | 2006 |  M01   | 313570 |           |
| LASST110000000000006 | 2005 |  M12   | 313718 |           |
| LASST110000000000006 | 2005 |  M11   | 313962 |           |
| LASST110000000000006 | 2005 |  M10   | 314209 |           |
| LASST110000000000006 | 2005 |  M09   | 314487 |           |
| LASST110000000000006 | 2005 |  M08   | 314808 |           |
| LASST110000000000006 | 2005 |  M07   | 315159 |           |
| LASST110000000000006 | 2005 |  M06   | 315576 |           |
| LASST110000000000006 | 2005 |  M05   | 316057 |           |
| LASST110000000000006 | 2005 |  M04   | 316580 |           |
| LASST110000000000006 | 2005 |  M03   | 317124 |           |
| LASST110000000000006 | 2005 |  M02   | 317598 |           |
| LASST110000000000006 | 2005 |  M01   | 317860 |           |
| LASST110000000000006 | 2004 |  M12   | 317753 |           |
| LASST110000000000006 | 2004 |  M11   | 317176 |           |
| LASST110000000000006 | 2004 |  M10   | 316122 |           |
| LASST110000000000006 | 2004 |  M09   | 314716 |           |
| LASST110000000000006 | 2004 |  M08   | 313201 |           |
| LASST110000000000006 | 2004 |  M07   | 311822 |           |
| LASST110000000000006 | 2004 |  M06   | 310711 |           |
| LASST110000000000006 | 2004 |  M05   | 309857 |           |
| LASST110000000000006 | 2004 |  M04   | 309151 |           |
| LASST110000000000006 | 2004 |  M03   | 308490 |           |
| LASST110000000000006 | 2004 |  M02   | 307862 |           |
| LASST110000000000006 | 2004 |  M01   | 307268 |           |
| LASST110000000000006 | 2003 |  M12   | 306767 |           |
| LASST110000000000006 | 2003 |  M11   | 306511 |           |
| LASST110000000000006 | 2003 |  M10   | 306560 |           |
| LASST110000000000006 | 2003 |  M09   | 306855 |           |
| LASST110000000000006 | 2003 |  M08   | 307229 |           |
| LASST110000000000006 | 2003 |  M07   | 307485 |           |
| LASST110000000000006 | 2003 |  M06   | 307468 |           |
| LASST110000000000006 | 2003 |  M05   | 307161 |           |
| LASST110000000000006 | 2003 |  M04   | 306625 |           |
| LASST110000000000006 | 2003 |  M03   | 305888 |           |
| LASST110000000000006 | 2003 |  M02   | 305041 |           |
| LASST110000000000006 | 2003 |  M01   | 304290 |           |
| LASST110000000000006 | 2002 |  M12   | 303839 |           |
| LASST110000000000006 | 2002 |  M11   | 303732 |           |
| LASST110000000000006 | 2002 |  M10   | 303946 |           |
| LASST110000000000006 | 2002 |  M09   | 304436 |           |
| LASST110000000000006 | 2002 |  M08   | 305119 |           |
| LASST110000000000006 | 2002 |  M07   | 305894 |           |
| LASST110000000000006 | 2002 |  M06   | 306666 |           |
| LASST110000000000006 | 2002 |  M05   | 307294 |           |
| LASST110000000000006 | 2002 |  M04   | 307670 |           |
| LASST110000000000006 | 2002 |  M03   | 307862 |           |
| LASST110000000000006 | 2002 |  M02   | 308005 |           |
| LASST110000000000006 | 2002 |  M01   | 308251 |           |
| LASST110000000000006 | 2001 |  M12   | 308702 |           |
| LASST110000000000006 | 2001 |  M11   | 309356 |           |
| LASST110000000000006 | 2001 |  M10   | 310133 |           |
| LASST110000000000006 | 2001 |  M09   | 310790 |           |
| LASST110000000000006 | 2001 |  M08   | 311110 |           |
| LASST110000000000006 | 2001 |  M07   | 311015 |           |
| LASST110000000000006 | 2001 |  M06   | 310587 |           |
| LASST110000000000006 | 2001 |  M05   | 310186 |           |
| LASST110000000000006 | 2001 |  M04   | 310248 |           |
| LASST110000000000006 | 2001 |  M03   | 310924 |           |
| LASST110000000000006 | 2001 |  M02   | 312045 |           |
| LASST110000000000006 | 2001 |  M01   | 313235 |           |
| LASST110000000000006 | 2000 |  M12   | 314060 |           |
| LASST110000000000006 | 2000 |  M11   | 314217 |           |
| LASST110000000000006 | 2000 |  M10   | 313572 |           |
| LASST110000000000006 | 2000 |  M09   | 312303 |           |
| LASST110000000000006 | 2000 |  M08   | 310795 |           |
| LASST110000000000006 | 2000 |  M07   | 309447 |           |
| LASST110000000000006 | 2000 |  M06   | 308534 |           |
| LASST110000000000006 | 2000 |  M05   | 308060 |           |
| LASST110000000000006 | 2000 |  M04   | 307908 |           |
| LASST110000000000006 | 2000 |  M03   | 308027 |           |
| LASST110000000000006 | 2000 |  M02   | 308340 |           |
| LASST110000000000006 | 2000 |  M01   | 308686 |           |
| LASST110000000000006 | 1999 |  M12   | 308965 |           |
| LASST110000000000006 | 1999 |  M11   | 309155 |           |
| LASST110000000000006 | 1999 |  M10   | 309264 |           |
| LASST110000000000006 | 1999 |  M09   | 309306 |           |
| LASST110000000000006 | 1999 |  M08   | 309173 |           |
| LASST110000000000006 | 1999 |  M07   | 308717 |           |
| LASST110000000000006 | 1999 |  M06   | 307851 |           |
| LASST110000000000006 | 1999 |  M05   | 306496 |           |
| LASST110000000000006 | 1999 |  M04   | 304580 |           |
| LASST110000000000006 | 1999 |  M03   | 302147 |           |
| LASST110000000000006 | 1999 |  M02   | 299439 |           |
| LASST110000000000006 | 1999 |  M01   | 296822 |           |
+----------------------+------+--------+--------+-----------+
