+----------------------+------+--------+---------+-----------+
|      series id       | year | period |  value  | footnotes |
+----------------------+------+--------+---------+-----------+
| LASST250000000000006 | 2008 |  M12   | 3470510 |           |
| LASST250000000000006 | 2008 |  M11   | 3470534 |           |
| LASST250000000000006 | 2008 |  M10   | 3469120 |           |
| LASST250000000000006 | 2008 |  M09   | 3466081 |           |
| LASST250000000000006 | 2008 |  M08   | 3461656 |           |
| LASST250000000000006 | 2008 |  M07   | 3456222 |           |
| LASST250000000000006 | 2008 |  M06   | 3450325 |           |
| LASST250000000000006 | 2008 |  M05   | 3444640 |           |
| LASST250000000000006 | 2008 |  M04   | 3439829 |           |
| LASST250000000000006 | 2008 |  M03   | 3436094 |           |
| LASST250000000000006 | 2008 |  M02   | 3433405 |           |
| LASST250000000000006 | 2008 |  M01   | 3431513 |           |
| LASST250000000000006 | 2007 |  M12   | 3429832 |           |
| LASST250000000000006 | 2007 |  M11   | 3428133 |           |
| LASST250000000000006 | 2007 |  M10   | 3426473 |           |
| LASST250000000000006 | 2007 |  M09   | 3424863 |           |
| LASST250000000000006 | 2007 |  M08   | 3423607 |           |
| LASST250000000000006 | 2007 |  M07   | 3423004 |           |
| LASST250000000000006 | 2007 |  M06   | 3423049 |           |
| LASST250000000000006 | 2007 |  M05   | 3423783 |           |
| LASST250000000000006 | 2007 |  M04   | 3425258 |           |
| LASST250000000000006 | 2007 |  M03   | 3427299 |           |
| LASST250000000000006 | 2007 |  M02   | 3429482 |           |
| LASST250000000000006 | 2007 |  M01   | 3431219 |           |
| LASST250000000000006 | 2006 |  M12   | 3432012 |           |
| LASST250000000000006 | 2006 |  M11   | 3431077 |           |
| LASST250000000000006 | 2006 |  M10   | 3428381 |           |
| LASST250000000000006 | 2006 |  M09   | 3424407 |           |
| LASST250000000000006 | 2006 |  M08   | 3419738 |           |
| LASST250000000000006 | 2006 |  M07   | 3415108 |           |
| LASST250000000000006 | 2006 |  M06   | 3410957 |           |
| LASST250000000000006 | 2006 |  M05   | 3406936 |           |
| LASST250000000000006 | 2006 |  M04   | 3402686 |           |
| LASST250000000000006 | 2006 |  M03   | 3398484 |           |
| LASST250000000000006 | 2006 |  M02   | 3394702 |           |
| LASST250000000000006 | 2006 |  M01   | 3391733 |           |
