+----------------------+------+--------+---------+-----------+
|      series id       | year | period |  value  | footnotes |
+----------------------+------+--------+---------+-----------+
| LASST250000000000006 | 2018 |  M12   | 3833225 |           |
| LASST250000000000006 | 2018 |  M11   | 3833903 |           |
| LASST250000000000006 | 2018 |  M10   | 3833725 |           |
| LASST250000000000006 | 2018 |  M09   | 3829454 |           |
| LASST250000000000006 | 2018 |  M08   | 3823396 |           |
| LASST250000000000006 | 2018 |  M07   | 3816361 |           |
| LASST250000000000006 | 2018 |  M06   | 3807884 |           |
| LASST250000000000006 | 2018 |  M05   | 3798751 |           |
| LASST250000000000006 | 2018 |  M04   | 3787988 |           |
| LASST250000000000006 | 2018 |  M03   | 3775456 |           |
| LASST250000000000006 | 2018 |  M02   | 3761968 |           |
| LASST250000000000006 | 2018 |  M01   | 3749077 |           |
| LASST250000000000006 | 2017 |  M12   | 3737637 |           |
| LASST250000000000006 | 2017 |  M11   | 3727610 |           |
| LASST250000000000006 | 2017 |  M10   | 3718676 |           |
| LASST250000000000006 | 2017 |  M09   | 3710559 |           |
| LASST250000000000006 | 2017 |  M08   | 3703154 |           |
| LASST250000000000006 | 2017 |  M07   | 3696326 |           |
| LASST250000000000006 | 2017 |  M06   | 3690088 |           |
| LASST250000000000006 | 2017 |  M05   | 3684565 |           |
| LASST250000000000006 | 2017 |  M04   | 3679388 |           |
| LASST250000000000006 | 2017 |  M03   | 3674227 |           |
| LASST250000000000006 | 2017 |  M02   | 3668629 |           |
| LASST250000000000006 | 2017 |  M01   | 3662263 |           |
| LASST250000000000006 | 2016 |  M12   | 3655556 |           |
| LASST250000000000006 | 2016 |  M11   | 3648818 |           |
| LASST250000000000006 | 2016 |  M10   | 3642022 |           |
| LASST250000000000006 | 2016 |  M09   | 3635027 |           |
| LASST250000000000006 | 2016 |  M08   | 3627888 |           |
| LASST250000000000006 | 2016 |  M07   | 3620907 |           |
| LASST250000000000006 | 2016 |  M06   | 3614299 |           |
| LASST250000000000006 | 2016 |  M05   | 3608402 |           |
| LASST250000000000006 | 2016 |  M04   | 3603514 |           |
| LASST250000000000006 | 2016 |  M03   | 3599612 |           |
| LASST250000000000006 | 2016 |  M02   | 3595930 |           |
| LASST250000000000006 | 2016 |  M01   | 3591826 |           |
| LASST250000000000006 | 2015 |  M12   | 3587254 |           |
| LASST250000000000006 | 2015 |  M11   | 3582832 |           |
| LASST250000000000006 | 2015 |  M10   | 3579920 |           |
| LASST250000000000006 | 2015 |  M09   | 3579498 |           |
| LASST250000000000006 | 2015 |  M08   | 3581383 |           |
| LASST250000000000006 | 2015 |  M07   | 3584971 |           |
| LASST250000000000006 | 2015 |  M06   | 3589658 |           |
| LASST250000000000006 | 2015 |  M05   | 3594448 |           |
| LASST250000000000006 | 2015 |  M04   | 3598519 |           |
| LASST250000000000006 | 2015 |  M03   | 3601875 |           |
| LASST250000000000006 | 2015 |  M02   | 3604482 |           |
| LASST250000000000006 | 2015 |  M01   | 3605951 |           |
| LASST250000000000006 | 2014 |  M12   | 3605703 |           |
| LASST250000000000006 | 2014 |  M11   | 3603367 |           |
| LASST250000000000006 | 2014 |  M10   | 3598465 |           |
| LASST250000000000006 | 2014 |  M09   | 3590865 |           |
| LASST250000000000006 | 2014 |  M08   | 3581751 |           |
| LASST250000000000006 | 2014 |  M07   | 3572506 |           |
| LASST250000000000006 | 2014 |  M06   | 3563949 |           |
| LASST250000000000006 | 2014 |  M05   | 3556183 |           |
| LASST250000000000006 | 2014 |  M04   | 3548933 |           |
| LASST250000000000006 | 2014 |  M03   | 3541136 |           |
| LASST250000000000006 | 2014 |  M02   | 3532726 |           |
| LASST250000000000006 | 2014 |  M01   | 3524591 |           |
| LASST250000000000006 | 2013 |  M12   | 3520340 |           |
| LASST250000000000006 | 2013 |  M11   | 3516363 |           |
| LASST250000000000006 | 2013 |  M10   | 3514864 |           |
| LASST250000000000006 | 2013 |  M09   | 3515673 |           |
| LASST250000000000006 | 2013 |  M08   | 3517355 |           |
| LASST250000000000006 | 2013 |  M07   | 3517932 |           |
| LASST250000000000006 | 2013 |  M06   | 3516697 |           |
| LASST250000000000006 | 2013 |  M05   | 3514060 |           |
| LASST250000000000006 | 2013 |  M04   | 3510733 |           |
| LASST250000000000006 | 2013 |  M03   | 3507938 |           |
| LASST250000000000006 | 2013 |  M02   | 3506639 |           |
| LASST250000000000006 | 2013 |  M01   | 3506305 |           |
| LASST250000000000006 | 2012 |  M12   | 3505939 |           |
| LASST250000000000006 | 2012 |  M11   | 3504465 |           |
| LASST250000000000006 | 2012 |  M10   | 3501337 |           |
| LASST250000000000006 | 2012 |  M09   | 3496582 |           |
| LASST250000000000006 | 2012 |  M08   | 3490901 |           |
| LASST250000000000006 | 2012 |  M07   | 3485409 |           |
| LASST250000000000006 | 2012 |  M06   | 3480397 |           |
| LASST250000000000006 | 2012 |  M05   | 3476254 |           |
| LASST250000000000006 | 2012 |  M04   | 3473518 |           |
| LASST250000000000006 | 2012 |  M03   | 3472122 |           |
| LASST250000000000006 | 2012 |  M02   | 3471702 |           |
| LASST250000000000006 | 2012 |  M01   | 3472361 |           |
| LASST250000000000006 | 2011 |  M12   | 3473394 |           |
| LASST250000000000006 | 2011 |  M11   | 3473592 |           |
| LASST250000000000006 | 2011 |  M10   | 3472273 |           |
| LASST250000000000006 | 2011 |  M09   | 3469527 |           |
| LASST250000000000006 | 2011 |  M08   | 3466253 |           |
| LASST250000000000006 | 2011 |  M07   | 3463633 |           |
| LASST250000000000006 | 2011 |  M06   | 3462711 |           |
| LASST250000000000006 | 2011 |  M05   | 3463870 |           |
| LASST250000000000006 | 2011 |  M04   | 3466650 |           |
| LASST250000000000006 | 2011 |  M03   | 3470079 |           |
| LASST250000000000006 | 2011 |  M02   | 3472847 |           |
| LASST250000000000006 | 2011 |  M01   | 3474410 |           |
| LASST250000000000006 | 2010 |  M12   | 3474994 |           |
| LASST250000000000006 | 2010 |  M11   | 3474959 |           |
| LASST250000000000006 | 2010 |  M10   | 3474546 |           |
| LASST250000000000006 | 2010 |  M09   | 3474837 |           |
| LASST250000000000006 | 2010 |  M08   | 3476501 |           |
| LASST250000000000006 | 2010 |  M07   | 3479296 |           |
| LASST250000000000006 | 2010 |  M06   | 3482961 |           |
| LASST250000000000006 | 2010 |  M05   | 3486138 |           |
| LASST250000000000006 | 2010 |  M04   | 3487331 |           |
| LASST250000000000006 | 2010 |  M03   | 3485942 |           |
| LASST250000000000006 | 2010 |  M02   | 3482040 |           |
| LASST250000000000006 | 2010 |  M01   | 3476509 |           |
| LASST250000000000006 | 2009 |  M12   | 3471474 |           |
| LASST250000000000006 | 2009 |  M11   | 3469028 |           |
| LASST250000000000006 | 2009 |  M10   | 3469626 |           |
| LASST250000000000006 | 2009 |  M09   | 3472149 |           |
| LASST250000000000006 | 2009 |  M08   | 3474827 |           |
| LASST250000000000006 | 2009 |  M07   | 3476387 |           |
| LASST250000000000006 | 2009 |  M06   | 3475807 |           |
| LASST250000000000006 | 2009 |  M05   | 3473546 |           |
| LASST250000000000006 | 2009 |  M04   | 3470884 |           |
| LASST250000000000006 | 2009 |  M03   | 3468927 |           |
| LASST250000000000006 | 2009 |  M02   | 3468584 |           |
| LASST250000000000006 | 2009 |  M01   | 3469508 |           |
+----------------------+------+--------+---------+-----------+
